2024-10-18T07:58:26.505Z	 stat 	CPU: 0m, MEMORY: Alloc=5.9Mi, TotalAlloc=111.0Mi, Sys=23.1Mi, NumGC=34	caller=stat/usage.go:61
2024-10-18T07:58:26.631Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T07:59:18.862Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T07:59:26.503Z	 stat 	CPU: 0m, MEMORY: Alloc=5.4Mi, TotalAlloc=113.8Mi, Sys=23.1Mi, NumGC=35	caller=stat/usage.go:61
2024-10-18T07:59:26.629Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:00:18.860Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:00:26.500Z	 stat 	CPU: 0m, MEMORY: Alloc=4.9Mi, TotalAlloc=116.7Mi, Sys=23.1Mi, NumGC=36	caller=stat/usage.go:61
2024-10-18T08:00:26.627Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:01:18.857Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:01:26.499Z	 stat 	CPU: 0m, MEMORY: Alloc=4.4Mi, TotalAlloc=119.6Mi, Sys=23.1Mi, NumGC=37	caller=stat/usage.go:61
2024-10-18T08:01:26.625Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:02:18.856Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:02:26.497Z	 stat 	CPU: 0m, MEMORY: Alloc=3.9Mi, TotalAlloc=122.5Mi, Sys=23.1Mi, NumGC=38	caller=stat/usage.go:61
2024-10-18T08:02:26.623Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:03:18.854Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:03:26.495Z	 stat 	CPU: 0m, MEMORY: Alloc=3.6Mi, TotalAlloc=125.4Mi, Sys=23.1Mi, NumGC=39	caller=stat/usage.go:61
2024-10-18T08:03:26.621Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:04:18.851Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:04:26.492Z	 stat 	CPU: 0m, MEMORY: Alloc=6.5Mi, TotalAlloc=128.3Mi, Sys=23.1Mi, NumGC=39	caller=stat/usage.go:61
2024-10-18T08:04:26.619Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:05:18.850Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:05:26.490Z	 stat 	CPU: 0m, MEMORY: Alloc=6.0Mi, TotalAlloc=131.2Mi, Sys=23.1Mi, NumGC=40	caller=stat/usage.go:61
2024-10-18T08:05:26.617Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:06:18.848Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:06:26.489Z	 stat 	CPU: 0m, MEMORY: Alloc=5.6Mi, TotalAlloc=134.0Mi, Sys=23.1Mi, NumGC=41	caller=stat/usage.go:61
2024-10-18T08:06:26.615Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:07:18.846Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:07:26.487Z	 stat 	CPU: 0m, MEMORY: Alloc=5.3Mi, TotalAlloc=136.9Mi, Sys=23.1Mi, NumGC=42	caller=stat/usage.go:61
2024-10-18T08:07:26.613Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:08:18.843Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:08:26.494Z	 stat 	CPU: 0m, MEMORY: Alloc=4.8Mi, TotalAlloc=139.8Mi, Sys=23.1Mi, NumGC=43	caller=stat/usage.go:61
2024-10-18T08:08:26.611Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:09:18.852Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:09:26.482Z	 stat 	CPU: 0m, MEMORY: Alloc=4.5Mi, TotalAlloc=142.7Mi, Sys=23.1Mi, NumGC=44	caller=stat/usage.go:61
2024-10-18T08:09:26.609Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:10:18.840Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:10:26.480Z	 stat 	CPU: 0m, MEMORY: Alloc=4.1Mi, TotalAlloc=145.6Mi, Sys=23.1Mi, NumGC=45	caller=stat/usage.go:61
2024-10-18T08:10:26.606Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:11:18.837Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T08:11:26.478Z	 stat 	CPU: 0m, MEMORY: Alloc=3.7Mi, TotalAlloc=148.5Mi, Sys=23.1Mi, NumGC=46	caller=stat/usage.go:61
2024-10-18T08:11:26.605Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T08:12:18.836Z	 stat 	(problems-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
