2024-10-18T09:39:29.804Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:39:30.814Z	 stat 	CPU: 0m, MEMORY: Alloc=11.6Mi, TotalAlloc=123.1Mi, Sys=30.8Mi, NumGC=21	caller=stat/usage.go:61
2024-10-18T09:39:31.021Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:40:29.803Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:40:30.812Z	 stat 	CPU: 0m, MEMORY: Alloc=8.7Mi, TotalAlloc=126.0Mi, Sys=30.8Mi, NumGC=22	caller=stat/usage.go:61
2024-10-18T09:40:31.020Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:41:29.800Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:41:30.810Z	 stat 	CPU: 0m, MEMORY: Alloc=11.5Mi, TotalAlloc=128.8Mi, Sys=30.8Mi, NumGC=22	caller=stat/usage.go:61
2024-10-18T09:41:31.018Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:42:29.798Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:42:30.808Z	 stat 	CPU: 0m, MEMORY: Alloc=8.7Mi, TotalAlloc=131.7Mi, Sys=30.8Mi, NumGC=23	caller=stat/usage.go:61
2024-10-18T09:42:31.015Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:43:29.796Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:43:30.806Z	 stat 	CPU: 0m, MEMORY: Alloc=11.5Mi, TotalAlloc=134.6Mi, Sys=30.8Mi, NumGC=23	caller=stat/usage.go:61
2024-10-18T09:43:31.013Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:44:29.795Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
2024-10-18T09:44:30.804Z	 stat 	CPU: 0m, MEMORY: Alloc=8.6Mi, TotalAlloc=137.5Mi, Sys=30.8Mi, NumGC=24	caller=stat/usage.go:61
2024-10-18T09:44:31.011Z	 stat 	(api) shedding_stat [1m], cpu: 0, total: 0, pass: 0, drop: 0	caller=load/sheddingstat.go:61
2024-10-18T09:44:54.654Z	 stat 	(upload-api) - qps: 0.0/s, drops: 0, avg time: 0.0ms, med: 0.0ms, 90th: 0.0ms, 99th: 0.0ms, 99.9th: 0.0ms	caller=stat/metrics.go:210
